,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,71,0.45504515334753926,0.8326111111111111,1.424196822302682,3.530923290686174,0.6027142857142858,0.13642857142857143,0.6317857142857143
1,1,71,0.3466043392537345,0.8668333333333333,1.256662470953805,3.7077894427559595,0.6222857142857143,0.15071428571428572,0.6414285714285715
2,2,71,0.28945103077821327,0.8866666666666667,1.4173213030610765,3.8520085486498745,0.6205714285714286,0.16410714285714287,0.6375
3,3,71,0.29744584984342815,0.8835555555555555,1.283006951212883,4.430321910164573,0.6344285714285715,0.10946428571428571,0.6817857142857143
4,4,71,0.25678791147722324,0.8965,1.3608312521662032,3.7696764252402564,0.618,0.1769642857142857,0.6303571428571428
5,5,71,0.2467483403817029,0.9019444444444444,1.3833899881158556,4.2255459807135844,0.6275714285714286,0.15696428571428572,0.6478571428571429
6,6,71,0.2334162026224002,0.9071111111111111,1.5802528262138367,3.6404307105324487,0.6204285714285714,0.24035714285714285,0.6014285714285714
7,7,71,0.23289456816626267,0.9073888888888889,1.35233240042414,4.343733787536621,0.6372857142857142,0.12053571428571429,0.6805357142857142
8,8,71,0.21694731145677432,0.9157222222222222,1.4624004449163164,4.886615319685503,0.6118571428571429,0.07410714285714286,0.6753571428571429
9,9,71,0.2195724154442129,0.9128333333333334,1.3952647660459792,4.61892294883728,0.6477142857142857,0.13267857142857142,0.6778571428571428
