,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,85,0.5165045296444613,0.8187962962962962,1.4218136325027004,4.004673208509173,0.5866666666666667,0.08557142857142858,0.621
1,1,85,0.37895960281876956,0.8585648148148148,1.7807242545214566,4.893561226981027,0.5661904761904762,0.056428571428571425,0.6278571428571429
2,2,85,0.3364111016778385,0.8728703703703704,1.4021746209173491,4.878158177648272,0.6148809523809524,0.03742857142857143,0.6901428571428572
3,3,85,0.29654866527108587,0.8880555555555556,1.4886526519601995,5.217245442526681,0.6017857142857143,0.031285714285714285,0.6877142857142857
4,4,85,0.2679569249643999,0.895462962962963,1.514100472132365,4.37795044694628,0.6197619047619047,0.1682857142857143,0.6285714285714286
5,5,85,0.2809726892148747,0.8922222222222222,1.320073532335686,4.829375420297895,0.6453571428571429,0.091,0.6864285714285714
6,6,85,0.24275571826626272,0.90625,1.414970206491875,4.985055310385568,0.6310714285714286,0.10414285714285715,0.6604285714285715
7,7,85,0.25362167744075553,0.9035185185185185,1.4325800628373118,4.5193652766091486,0.633095238095238,0.13057142857142856,0.6564285714285715
8,8,85,0.2366761028766632,0.9081944444444444,1.501699761910872,4.581408977508545,0.6203571428571428,0.13071428571428573,0.6425714285714286
9,9,85,0.22208057887413923,0.9146296296296297,1.5719782366897121,4.360264914376395,0.6153571428571428,0.15514285714285714,0.6218571428571429
