,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,29,0.5955436630495663,0.7201388888888889,2.8049524155530063,1.842349886894226,0.6260714285714286,0.37857142857142856,0.6214285714285714
1,1,29,0.6073160377042047,0.68375,0.6863126863132823,1.5669973889986675,0.6085714285714285,0.2257142857142857,0.7742857142857142
2,2,29,0.553955273381595,0.7094444444444444,0.6190855015407909,1.3246931632359822,0.6514285714285715,0.42857142857142855,0.5714285714285714
3,3,29,0.5189870225972143,0.7323611111111111,0.6346279220147566,1.167195459206899,0.6521428571428571,0.4785714285714286,0.5214285714285715
4,4,29,0.5005786624448053,0.7515277777777778,0.6558086763728749,1.2875460386276245,0.655,0.44357142857142856,0.5564285714285714
5,5,29,0.5170731297854719,0.7401388888888889,0.8761375004594977,2.8932403326034546,0.605,0.12857142857142856,0.8714285714285714
6,6,29,0.5009093222946956,0.7511111111111111,0.6567688259211454,1.6001755396525066,0.6642857142857143,0.4014285714285714,0.5985714285714285
7,7,29,0.4774811514492693,0.7641666666666667,1.0063884095712141,3.113242427508036,0.6057142857142858,0.11857142857142858,0.8814285714285715
8,8,29,0.48397349386379634,0.7584722222222222,0.667381227016449,1.507002015908559,0.6628571428571428,0.43857142857142856,0.5614285714285714
9,9,29,0.4828173980630677,0.7601388888888889,0.666034302928231,1.875694493452708,0.6567857142857143,0.23857142857142857,0.7614285714285715
