,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,57,0.2917518636636567,0.8988194444444444,1.2382399168881504,4.354336317847757,0.8092857142857143,0.10714285714285714,0.736904761904762
1,1,57,0.23022407711597911,0.9129166666666667,0.892310619354248,3.501980094348683,0.7976785714285715,0.1957142857142857,0.7271428571428571
2,2,57,0.1838675648496862,0.931875,0.7064060866832733,4.779276988085578,0.8510714285714286,0.04738095238095238,0.8645238095238095
3,3,57,0.1747857155768495,0.9354166666666667,0.9025979123332284,4.232872345868279,0.8173214285714285,0.1169047619047619,0.7771428571428571
4,4,57,0.14726155185908602,0.9464583333333333,0.7787541909651323,4.891244018779082,0.8385714285714285,0.06404761904761905,0.824047619047619
5,5,57,0.15087701824673436,0.9420138888888889,0.7983324256810275,4.185243564493516,0.8175,0.12595238095238095,0.7838095238095238
6,6,57,0.1471661474359663,0.9477777777777778,0.7925790223208341,4.731066872091854,0.8367857142857142,0.06904761904761905,0.8502380952380952
7,7,57,0.13308482388393922,0.9522222222222222,0.7282977808605541,4.331398318795597,0.8392857142857143,0.1269047619047619,0.804047619047619
8,8,57,0.112262386763305,0.9594444444444444,0.8504659560593691,4.07620101816514,0.81125,0.18047619047619048,0.7535714285714286
9,9,57,0.11360325147969681,0.9584722222222222,0.7890492217107252,4.5242608294767495,0.8305357142857143,0.14547619047619048,0.7957142857142857
