,epoch,batch,train_epoch_loss_avg_over_batch,train_acc,train_acc_clean_only,train_asr_bd_only,train_ra_bd_only,clean_test_loss_avg_over_batch,bd_test_loss_avg_over_batch,test_acc,test_asr,test_ra
0,0,3375,1.0899903921551175,0.5512615740740741,0.532201646090535,0.7228009259259259,0.33493055555555556,1.5651031281008865,0.08811298435479827,0.5507142857142857,0.9732857142857143,0.018857142857142857
1,1,3375,0.36992135880170046,0.8589259259259259,0.8792489711934156,0.6760185185185185,0.459837962962963,1.0809008062704268,0.09490673505325421,0.7045238095238096,0.9701428571428572,0.027857142857142858
2,2,3375,0.26356834559749676,0.9058541666666666,0.932011316872428,0.6704398148148148,0.47805555555555557,0.7158162800708052,0.09091936982215636,0.7951190476190476,0.9774285714285714,0.020714285714285713
3,3,3375,0.22162686274890547,0.9239212962962963,0.9519161522633744,0.6719675925925926,0.4820601851851852,0.806000758583347,0.06390454640045805,0.7832142857142858,0.9832857142857143,0.015
4,4,3375,0.20152967713276546,0.9320092592592593,0.9606198559670782,0.6745138888888889,0.4815740740740741,0.7932211349746494,0.0506991288312516,0.7814285714285715,0.9857142857142858,0.013142857142857144
5,5,3375,0.1894180746299249,0.9366435185185186,0.9662911522633745,0.6698148148148149,0.4890277777777778,0.7316497374100216,0.061334817606387496,0.8035714285714286,0.9848571428571429,0.013714285714285714
6,6,3375,0.1832565030599082,0.9389282407407408,0.9690072016460906,0.6682175925925926,0.489375,0.7748243016839931,0.07615874492101656,0.7979761904761905,0.9811428571428571,0.01757142857142857
7,7,3375,0.17810068372885385,0.9407152777777777,0.9707124485596708,0.6707407407407407,0.48743055555555553,0.9312594750010634,0.07551858031160505,0.7683333333333333,0.9818571428571429,0.01685714285714286
8,8,3375,0.17606668012120105,0.9414212962962963,0.9716923868312757,0.6689814814814815,0.48983796296296295,0.7890811132507004,0.11274177821628241,0.8045238095238095,0.9745714285714285,0.023285714285714285
9,9,3375,0.17284972041183047,0.942511574074074,0.9727752057613168,0.6701388888888888,0.48780092592592594,0.7547211179679091,0.06146994674294629,0.8120238095238095,0.9852857142857143,0.014
10,10,3375,0.17074830038017696,0.9433263888888889,0.9737037037037037,0.6699305555555556,0.48854166666666665,0.7325404574812362,0.04633913956997937,0.8105952380952381,0.9877142857142858,0.011142857142857144
11,11,3375,0.17030120524101788,0.943775462962963,0.9738657407407407,0.672962962962963,0.48636574074074074,0.8367944675864596,0.07491621935699765,0.7873809523809524,0.9811428571428571,0.01742857142857143
